N_Encuesta,Id_Encuesta,encuesta_a,encuesta_m,zona_u_r,region,Sexo,Edad,estrato,percepcion_1_a,percepcion_1_b,percepcion_1_c,percepcion_2,percepcion_3,percepcion_5,percepcion_6,percepcion_38,percepcion_39,percepcion_4,eval_gob_1,eval_act_pol_1_p,eval_act_pol_1_fh,eval_act_pol_1_dv,eval_act_pol_1_co,eval_act_pol_1_ca,eval_act_pol_1_ae,eval_act_pol_1_er,eval_act_pol_1_gt,confianza_6_aa,confianza_6_j,confianza_6_i,confianza_6_k,democracia_21,pp_congreso_61_b,eval_act_pol_17,eval_act_pol_18,bienestar_2,bienestar_7_a,bienestar_7_d,bienestar_7_f,bienestar_7_g,iden_pol_3,estallido_17,MBP20a,MBP20b,MBP20c,MBP20d,MBP20e,MBP20g,MBP20h,MBP20j
71,1,2014,7.0,1.0,15.0,1,47,3.0,5,6,3,4,,,,,,1,1,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2,2014,7.0,1.0,15.0,1,38,3.0,3,8,7,4,,,,,,1,3,8.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3,2014,7.0,1.0,15.0,2,69,3.0,10,4,3,2,,,,,,2,2,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4,2014,7.0,1.0,15.0,1,22,3.0,9,2,5,4,,,,,,1,3,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5,2014,7.0,1.0,15.0,2,45,3.0,1,11,6,3,,,,,,1,1,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6,2014,7.0,1.0,15.0,1,31,3.0,16,2,14,4,,,,,,1,9,9.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,7,2014,7.0,1.0,15.0,1,30,3.0,9,10,3,4,,,,,,1,1,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,8,2014,7.0,1.0,15.0,1,19,3.0,10,5,8,4,,,,,,1,3,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,9,2014,7.0,1.0,15.0,2,27,3.0,5,10,11,2,,,,,,2,3,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10,2014,7.0,1.0,15.0,1,28,3.0,3,11,10,3,,,,,,2,2,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,11,2014,7.0,1.0,15.0,2,25,2.0,10,5,9,4,,,,,,1,1,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12,2014,7.0,1.0,15.0,2,18,4.0,8,9,7,3,,,,,,2,1,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,13,2014,7.0,1.0,15.0,2,71,4.0,10,9,3,3,,,,,,1,1,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,14,2014,7.0,1.0,15.0,2,23,4.0,4,7,17,3,,,,,,1,3,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,15,2014,7.0,1.0,15.0,2,32,4.0,10,11,5,3,,,,,,1,1,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,16,2014,7.0,1.0,15.0,1,54,3.0,17,11,10,3,,,,,,2,3,6.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,17,2014,7.0,1.0,15.0,1,59,4.0,6,7,10,2,,,,,,2,2,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18,2014,7.0,1.0,1.0,2,53,3.0,10,7,5,3,,,,,,2,3,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,19,2014,7.0,1.0,1.0,2,55,3.0,10,2,3,3,,,,,,2,1,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,20,2014,7.0,1.0,1.0,1,62,3.0,5,10,11,3,,,,,,1,3,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,21,2014,7.0,1.0,1.0,2,60,2.0,5,7,10,4,,,,,,1,1,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,22,2014,7.0,1.0,1.0,2,38,3.0,2,5,10,3,,,,,,1,3,6.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,23,2014,7.0,1.0,1.0,1,34,4.0,9,3,17,3,,,,,,1,1,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
